Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
PayPal Bank 3,11/02/2023,Deposit,7LR697392X9348514,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7LR697392X9348514https://www.paypal.com/activity/payment/7LR697392X9348514,PayPal Bank 3,--,$195.53,"$70,439.13"
Donations directed by individuals,11/02/2023,Deposit,7LR697392X9348514,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$200.00,"$70,639.13"
PayPal Fees,11/02/2023,Deposit,7LR697392X9348514,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.47,"$70,643.60"
PayPal Bank 3,11/02/2023,Deposit,1BD00464D28063439,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageNote: Дякую вам рідненькіTransaction ID: 1BD00464D28063439https://www.paypal.com/activity/payment/1BD00464D28063439,PayPal Bank 3,--,$24.61,"$70,668.21"
Donations directed by individuals,11/02/2023,Deposit,1BD00464D28063439,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.01,"$70,694.22"
PayPal Fees,11/02/2023,Deposit,1BD00464D28063439,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.40,"$70,695.62"
PayPal Bank 3,11/02/2023,Deposit,6AM99324L4134762W,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 6AM99324L4134762Whttps://www.paypal.com/activity/payment/6AM99324L4134762W,PayPal Bank 3,--,$100.00,"$70,795.62"
Donations directed by individuals,11/02/2023,Deposit,6AM99324L4134762W,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,"$70,898.15"
PayPal Fees,11/02/2023,Deposit,6AM99324L4134762W,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53,"$70,900.68"
PayPal Bank 3,11/02/2023,Deposit,5VM72884G6296400U,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 5VM72884G6296400Uhttps://www.paypal.com/activity/payment/5VM72884G6296400U,PayPal Bank 3,--,$391.55,"$71,292.23"
Donations directed by individuals,11/02/2023,Deposit,5VM72884G6296400U,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$400.00,"$71,692.23"
PayPal Fees,11/02/2023,Deposit,5VM72884G6296400U,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$8.45,"$71,700.68"
PayPal Bank 3,11/02/2023,Deposit,8TF957513D036384H,10 Flight to Recovery RESTR,Subject: FlightToRecoveryTransaction ID: 8TF957513D036384Hhttps://www.paypal.com/activity/payment/8TF957513D036384H,PayPal Bank 3,--,$10.00,"$71,710.68"
Donations directed by individuals,11/02/2023,Deposit,8TF957513D036384H,10 Flight to Recovery RESTR,Flight to Recovery - Flight to Recovery,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.70,"$71,721.38"
PayPal Fees,11/02/2023,Deposit,8TF957513D036384H,10 Flight to Recovery RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.70,"$71,722.08"
PayPal Bank 3,11/02/2023,Deposit,5FL1289581131674L,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 5FL1289581131674Lhttps://www.paypal.com/activity/payment/5FL1289581131674L,PayPal Bank 3,--,$20.95,"$71,743.03"
Donations directed by individuals,11/02/2023,Deposit,5FL1289581131674L,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$22.22,"$71,765.25"
PayPal Fees,11/02/2023,Deposit,5FL1289581131674L,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.27,"$71,766.52"
PayPal Bank 3,11/02/2023,Deposit,04S77503649846826,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 04S77503649846826https://www.paypal.com/activity/payment/04S77503649846826,PayPal Bank 3,--,$96.02,"$71,862.54"
Donations directed by individuals,11/02/2023,Deposit,04S77503649846826,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$71,962.54"
PayPal Fees,11/02/2023,Deposit,04S77503649846826,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.98,"$71,966.52"
PayPal Bank 3,11/02/2023,Deposit,6EN16584H11935213,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 6EN16584H11935213https://www.paypal.com/activity/payment/6EN16584H11935213,PayPal Bank 3,--,$49.23,"$72,015.75"
Donations directed by individuals,11/02/2023,Deposit,6EN16584H11935213,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$72,067.27"
PayPal Fees,11/02/2023,Deposit,6EN16584H11935213,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29,"$72,069.56"
PayPal Bank 3,11/02/2023,Deposit,34N22848125695619,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 34N22848125695619https://www.paypal.com/activity/payment/34N22848125695619,PayPal Bank 3,--,$99.38,"$72,168.94"
Donations directed by individuals,11/02/2023,Deposit,34N22848125695619,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48,"$72,272.42"
PayPal Fees,11/02/2023,Deposit,34N22848125695619,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.10,"$72,276.52"
PayPal Bank 3,11/02/2023,Deposit,5UW14341CU3450645,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 5UW14341CU3450645https://www.paypal.com/activity/payment/5UW14341CU3450645,PayPal Bank 3,--,$18.81,"$72,295.33"
Donations directed by individuals,11/02/2023,Deposit,5UW14341CU3450645,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,"$72,315.33"
PayPal Fees,11/02/2023,Deposit,5UW14341CU3450645,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$72,316.52"
PayPal Bank 3,11/02/2023,Deposit,5BG9426871632820K,08 VICTORY DRONES RESTR,Subject: VICTORY DRONESTransaction ID: 5BG9426871632820Khttps://www.paypal.com/activity/payment/5BG9426871632820K,PayPal Bank 3,--,$2.97,"$72,319.49"
Donations directed by individuals,11/02/2023,Deposit,5BG9426871632820K,08 VICTORY DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$3.59,"$72,323.08"
PayPal Fees,11/02/2023,Deposit,5BG9426871632820K,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.62,"$72,323.70"
PayPal Bank 3,11/02/2023,Deposit,7F526915F3033662C,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7F526915F3033662Chttps://www.paypal.com/activity/payment/7F526915F3033662C,PayPal Bank 3,--,$17.72,"$72,341.42"
Donations directed by individuals,11/02/2023,Deposit,7F526915F3033662C,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$18.87,"$72,360.29"
PayPal Fees,11/02/2023,Deposit,7F526915F3033662C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.15,"$72,361.44"
PayPal Bank 3,11/02/2023,Deposit,5HT77327J2234344F,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 5HT77327J2234344Fhttps://www.paypal.com/activity/payment/5HT77327J2234344F,PayPal Bank 3,--,$14.90,"$72,376.34"
Donations directed by individuals,11/02/2023,Deposit,5HT77327J2234344F,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$15.95,"$72,392.29"
PayPal Fees,11/02/2023,Deposit,5HT77327J2234344F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.05,"$72,393.34"
PayPal Bank 3,11/02/2023,Deposit,13P331347A817623E,07 1000 DRONES RESTR,Subject: GeneralPageNote: Slava Ukraini! We are with you until victory! Please use this money for the drone program.Transaction ID: 13P331347A817623Ehttps://www.paypal.com/activity/payment/13P331347A817623E,PayPal Bank 3,--,$100.00,"$72,493.34"
Donations directed by individuals,11/02/2023,Deposit,13P331347A817623E,07 1000 DRONES RESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,"$72,595.87"
PayPal Fees,11/02/2023,Deposit,13P331347A817623E,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53,"$72,598.40"
PayPal Bank 3,11/02/2023,Deposit,83U181313P913514C,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 83U181313P913514Chttps://www.paypal.com/activity/payment/83U181313P913514C,PayPal Bank 3,--,$295.40,"$72,893.80"
Donations directed by individuals,11/02/2023,Deposit,83U181313P913514C,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$306.59,"$73,200.39"
PayPal Fees,11/02/2023,Deposit,83U181313P913514C,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$11.19,"$73,211.58"
PayPal Bank 3,11/02/2023,Deposit,27E10633WY216840D,07 1000 DRONES RESTR,Subject: GeneralPageNote: For dronesTransaction ID: 27E10633WY216840Dhttps://www.paypal.com/activity/payment/27E10633WY216840D,PayPal Bank 3,--,$97.52,"$73,309.10"
Donations directed by individuals,11/02/2023,Deposit,27E10633WY216840D,07 1000 DRONES RESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$73,409.10"
PayPal Fees,11/02/2023,Deposit,27E10633WY216840D,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.48,"$73,411.58"
PayPal Bank 3,11/02/2023,Deposit,3F3014658M436335G,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 3F3014658M436335Ghttps://www.paypal.com/activity/payment/3F3014658M436335G,PayPal Bank 3,--,$24.01,"$73,435.59"
Donations directed by individuals,11/02/2023,Deposit,3F3014658M436335G,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$25.00,"$73,460.59"
PayPal Fees,11/02/2023,Deposit,3F3014658M436335G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.99,"$73,461.58"
PayPal Bank 3,11/02/2023,Deposit,83M777545L734752K,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 83M777545L734752Khttps://www.paypal.com/activity/payment/83M777545L734752K,PayPal Bank 3,--,$38.11,"$73,499.69"
Donations directed by individuals,11/02/2023,Deposit,83M777545L734752K,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$40.00,"$73,539.69"
PayPal Fees,11/02/2023,Deposit,83M777545L734752K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.89,"$73,541.58"
PayPal Bank 3,11/02/2023,Deposit,1SA58753YS304094S,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 1SA58753YS304094Shttps://www.paypal.com/activity/payment/1SA58753YS304094S,PayPal Bank 3,--,$50.00,"$73,591.58"
Donations directed by individuals,11/02/2023,Deposit,1SA58753YS304094S,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$73,643.10"
PayPal Fees,11/02/2023,Deposit,1SA58753YS304094S,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52,"$73,644.62"
PayPal Bank 3,11/02/2023,Deposit,0XE44745SH120300R,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 0XE44745SH120300Rhttps://www.paypal.com/activity/payment/0XE44745SH120300R,PayPal Bank 3,--,$157.55,"$73,802.17"
Donations directed by individuals,11/02/2023,Deposit,0XE44745SH120300R,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$163.75,"$73,965.92"
PayPal Fees,11/02/2023,Deposit,0XE44745SH120300R,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$6.20,"$73,972.12"
PayPal Bank 3,11/02/2023,Deposit,3M341799T8834504Y,07 1000 DRONES RESTR,Subject: 1000 DRONES FOR UKRAINETransaction ID: 3M341799T8834504Yhttps://www.paypal.com/activity/payment/3M341799T8834504Y,PayPal Bank 3,--,$18.81,"$73,990.93"
Donations directed by individuals,11/02/2023,Deposit,3M341799T8834504Y,07 1000 DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,"$74,010.93"
PayPal Fees,11/02/2023,Deposit,3M341799T8834504Y,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$74,012.12"
PayPal Bank 3,11/02/2023,Deposit,1HA8496047804583P,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 1HA8496047804583Phttps://www.paypal.com/activity/payment/1HA8496047804583P,PayPal Bank 3,--,$18.81,"$74,030.93"
Donations directed by individuals,11/02/2023,Deposit,1HA8496047804583P,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00,"$74,050.93"
PayPal Fees,11/02/2023,Deposit,1HA8496047804583P,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19,"$74,052.12"
PayPal Bank 3,11/02/2023,Deposit,3YH05274LC609050K,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 3YH05274LC609050Khttps://www.paypal.com/activity/payment/3YH05274LC609050K,PayPal Bank 3,--,$38.50,"$74,090.62"
Donations directed by individuals,11/02/2023,Deposit,3YH05274LC609050K,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$40.40,"$74,131.02"
PayPal Fees,11/02/2023,Deposit,3YH05274LC609050K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.90,"$74,132.92"
PayPal Bank 3,11/02/2023,Deposit,5SS893741J441774L,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 5SS893741J441774Lhttps://www.paypal.com/activity/payment/5SS893741J441774L,PayPal Bank 3,--,$47.70,"$74,180.62"
Donations directed by individuals,11/02/2023,Deposit,5SS893741J441774L,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$49.93,"$74,230.55"
PayPal Fees,11/02/2023,Deposit,5SS893741J441774L,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.23,"$74,232.78"
PayPal Bank 3,11/02/2023,Deposit,7SD790536E6467917,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7SD790536E6467917https://www.paypal.com/activity/payment/7SD790536E6467917,PayPal Bank 3,--,$636.57,"$74,869.35"
Donations directed by individuals,11/02/2023,Deposit,7SD790536E6467917,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$650.00,"$75,519.35"
PayPal Fees,11/02/2023,Deposit,7SD790536E6467917,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$13.43,"$75,532.78"
PayPal Bank 3,11/02/2023,Deposit,06845088KR850060K,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 06845088KR850060Khttps://www.paypal.com/activity/payment/06845088KR850060K,PayPal Bank 3,--,$19.87,"$75,552.65"
Donations directed by individuals,11/02/2023,Deposit,06845088KR850060K,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.10,"$75,573.75"
PayPal Fees,11/02/2023,Deposit,06845088KR850060K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.23,"$75,574.98"
PayPal Bank 3,11/02/2023,Deposit,4KL71461TP2691905,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 4KL71461TP2691905https://www.paypal.com/activity/payment/4KL71461TP2691905,PayPal Bank 3,--,$9.93,"$75,584.91"
Donations directed by individuals,11/02/2023,Deposit,4KL71461TP2691905,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.80,"$75,595.71"
PayPal Fees,11/02/2023,Deposit,4KL71461TP2691905,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.87,"$75,596.58"
PayPal Bank 3,11/02/2023,Deposit,8D209453K5199041L,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 8D209453K5199041Lhttps://www.paypal.com/activity/payment/8D209453K5199041L,PayPal Bank 3,--,$49.23,"$75,645.81"
Donations directed by individuals,11/02/2023,Deposit,8D209453K5199041L,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$75,697.33"
PayPal Fees,11/02/2023,Deposit,8D209453K5199041L,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29,"$75,699.62"
PayPal Bank 3,11/02/2023,Deposit,32644378AB678960N,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 32644378AB678960Nhttps://www.paypal.com/activity/payment/32644378AB678960N,PayPal Bank 3,--,$34.46,"$75,734.08"
Donations directed by individuals,11/02/2023,Deposit,32644378AB678960N,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$36.21,"$75,770.29"
PayPal Fees,11/02/2023,Deposit,32644378AB678960N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.75,"$75,772.04"
PayPal Bank 3,11/02/2023,Deposit,8AG38644B10040449,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 8AG38644B10040449https://www.paypal.com/activity/payment/8AG38644B10040449,PayPal Bank 3,--,$9.16,"$75,781.20"
Donations directed by individuals,11/02/2023,Deposit,8AG38644B10040449,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$75,791.20"
PayPal Fees,11/02/2023,Deposit,8AG38644B10040449,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$75,792.04"
PayPal Bank 3,11/02/2023,Deposit,3KS98685AV5365022,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 3KS98685AV5365022https://www.paypal.com/activity/payment/3KS98685AV5365022,PayPal Bank 3,--,$9.16,"$75,801.20"
Donations directed by individuals,11/02/2023,Deposit,3KS98685AV5365022,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00,"$75,811.20"
PayPal Fees,11/02/2023,Deposit,3KS98685AV5365022,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84,"$75,812.04"
PayPal Bank 3,11/02/2023,Deposit,9LA26910HG593401C,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 9LA26910HG593401Chttps://www.paypal.com/activity/payment/9LA26910HG593401C,PayPal Bank 3,--,$70.08,"$75,882.12"
Donations directed by individuals,11/02/2023,Deposit,9LA26910HG593401C,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$72.00,"$75,954.12"
PayPal Fees,11/02/2023,Deposit,9LA26910HG593401C,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.92,"$75,956.04"
PayPal Bank 3,11/02/2023,Deposit,6C998884V1573704R,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 6C998884V1573704Rhttps://www.paypal.com/activity/payment/6C998884V1573704R,PayPal Bank 3,--,$100.00,"$76,056.04"
Donations directed by individuals,11/02/2023,Deposit,6C998884V1573704R,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53,"$76,158.57"
PayPal Fees,11/02/2023,Deposit,6C998884V1573704R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53,"$76,161.10"
PayPal Bank 3,11/02/2023,Deposit,98D410012M504045G,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 98D410012M504045Ghttps://www.paypal.com/activity/payment/98D410012M504045G,PayPal Bank 3,--,$97.52,"$76,258.62"
Donations directed by individuals,11/02/2023,Deposit,98D410012M504045G,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00,"$76,358.62"
PayPal Fees,11/02/2023,Deposit,98D410012M504045G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.48,"$76,361.10"
PayPal Bank 3,11/02/2023,Deposit,3JV59504J14669436,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 3JV59504J14669436https://www.paypal.com/activity/payment/3JV59504J14669436,PayPal Bank 3,--,$23.63,"$76,384.73"
Donations directed by individuals,11/02/2023,Deposit,3JV59504J14669436,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$24.99,"$76,409.72"
PayPal Fees,11/02/2023,Deposit,3JV59504J14669436,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.36,"$76,411.08"
PayPal Bank 3,11/02/2023,Deposit,46S78770H8359904B,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 46S78770H8359904Bhttps://www.paypal.com/activity/payment/46S78770H8359904B,PayPal Bank 3,--,$50.47,"$76,461.55"
Donations directed by individuals,11/02/2023,Deposit,46S78770H8359904B,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99,"$76,513.54"
PayPal Fees,11/02/2023,Deposit,46S78770H8359904B,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52,"$76,515.06"
PayPal Bank 3,11/02/2023,Deposit,7S091274T51450322,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7S091274T51450322https://www.paypal.com/activity/payment/7S091274T51450322,PayPal Bank 3,--,$28.46,"$76,543.52"
Donations directed by individuals,11/02/2023,Deposit,7S091274T51450322,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$30.00,"$76,573.52"
PayPal Fees,11/02/2023,Deposit,7S091274T51450322,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.54,"$76,575.06"
PayPal Bank 3,11/02/2023,Deposit,7K531671X7800044G,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 7K531671X7800044Ghttps://www.paypal.com/activity/payment/7K531671X7800044G,PayPal Bank 3,--,$24.84,"$76,599.90"
Donations directed by individuals,11/02/2023,Deposit,7K531671X7800044G,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25,"$76,626.15"
PayPal Fees,11/02/2023,Deposit,7K531671X7800044G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.41,"$76,627.56"
PayPal Bank 3,11/02/2023,Deposit,0HS31560MU411664D,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 0HS31560MU411664Dhttps://www.paypal.com/activity/payment/0HS31560MU411664D,PayPal Bank 3,--,$295.40,"$76,922.96"
Donations directed by individuals,11/02/2023,Deposit,0HS31560MU411664D,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$306.59,"$77,229.55"
PayPal Fees,11/02/2023,Deposit,0HS31560MU411664D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$11.19,"$77,240.74"
